url,img,name,price,body_part,weather_condition,gender
https://www.boyner.com.tr/ucla-esofman-alti-1022740,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002711297_020_01.jpg,Ucla MARINA  Normal Bel Standart Kalıp Baskılı Gri Kadın Eşofman Altı,593.97,Bottom,Normal,Female
https://www.boyner.com.tr/skechers-esofman-alti-1059791,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002742666_001_01.jpg,Skechers S212419-001 Newbasicsw Regular Pant  Lastikli Regular Fit Düz Siyah Kadın Eşofman Altı,579.00,Bottom,Normal,Female
https://www.boyner.com.tr/wrangler-esofman-alti-1335954,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002960820_1210_01.jpg,Wrangler Eşofman Altı,2249.00,Bottom,Normal,Female
https://www.boyner.com.tr/hummel-esofman-alti-1294306,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002916086_020_01.jpg,Hummel T-NONI 2.0 TAPERED PANTS Gri Kadın Eşofman Altı 931471-2006,689.95,Bottom,Normal,Female
https://www.boyner.com.tr/comm-ci-esofman-alti-1324098,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002955076_412_01.jpg,Comm-Ci Eşofman Altı,1649.00,Bottom,Normal,Female
https://www.boyner.com.tr/armani-exchange-esofman-alti-1366508,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002973484_001_01.jpg,Armani Exchange Eşofman Altı,2999.00,Bottom,Normal,Female
https://www.boyner.com.tr/ecko-unlimited-esofman-alti-1401925,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002803664_411_01.jpg,Ecko Unlimited Eşofman Altı,399.95,Bottom,Normal,Female
https://www.boyner.com.tr/under-armour-esofman-takimi-1135698,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002828440_532_01.jpg,Under Armour 1365147 Tricot Tracksuit Dik Yaka Normal Kalıp Düz Lila Kadın Eşofman Takımı,1359.00,Bottom,Normal,Female
https://www.boyner.com.tr/limon-esofman-alti-1055408,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002720499_200_01.jpg,Limon  Kahve  Kadın Eşofman Altı,1199.95,Bottom,Normal,Female
https://www.boyner.com.tr/koton-esofman-alti-1103808,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002824844_001_01.jpg,Koton 2YAK42822NK   Lastikli Normal Kalıp  Siyah Kadın Eşofman Altı,139.95,Bottom,Normal,Female
https://www.boyner.com.tr/people-by-fabrika-esofman-alti-1378523,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002862301_001_01.jpg,People By Fabrika Eşofman Altı,339.99,Bottom,Normal,Female
https://www.boyner.com.tr/ngstyle-bluz-1132780,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002867309_411_01.jpg,NGSTYLE Lacivert Kadın Bluz NGKSS22AT0002,449.99,Top,Thin,Female
https://www.boyner.com.tr/people-by-fabrika-gomlek-1311485,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002946749_254_01.jpg,People By Fabrika Gömlek Yaka Düz Vizon Kadın Gömlek 22K-BSR-49,299.95,Top,Thin,Female
https://www.boyner.com.tr/u.s.-polo-assn.-gomlek-1290073,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002935819_682_01.jpg,U.S. Polo Assn. Gömlek Yaka Düz Açık Pembe Kadın Gömlek WOXCOLOR022K,337.48,Top,Thin,Female
https://www.boyner.com.tr/selen-bluz-1130555,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002872082_001_01.jpg,Selen 22YSL8274 Kare Yaka Normal KalıpEmprime Siyah Kadın Bluz,329.98,Top,Thin,Female
https://www.boyner.com.tr/selen-bluz-1076350,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002778073_500_01.jpg,Selen Yarım Balıkçı Yaka Normal Kalıp Emprime Mor Kadın Bluz,337.48,Top,Thin,Female
https://www.boyner.com.tr/twist-gomlek-1294893,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002938458_650_01.jpg,Twist Gömlek Yaka Çiçek Pembe Kadın Gömlek TW6220025026033,1399.00,Top,Thin,Female
https://www.boyner.com.tr/selen-bluz-1327641,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002956238_001_01.jpg,Selen V Yaka Düz Siyah Kadın Bluz 22KSL8361,461.97,Top,Thin,Female
https://www.boyner.com.tr/people-by-fabrika-gomlek-1141771,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002905672_250_01.jpg,People By Fabrika PFKSS22GM0013 Klasik Yaka Regular Fit Düz Bej Kadın Gömlek,249.99,Top,Thin,Female
